10
(0, 1, 7858547)
(1, 2, 2957176)
(2, 3, 1439533)
(3, 4, 9082883)
(4, 5, 3708786)
(5, 6, 642786)
(6, 7, 4295709)
(7, 8, 1029178)
(8, 9, 533829)
(0, 2, 7837565)
(0, 3, 6153385)
(0, 4, 7521186)
(0, 5, 6705126)
(0, 6, 7881730)
(0, 7, 8276129)
(0, 8, 7141606)
(0, 9, 8533977)
(1, 4, 6866146)
(1, 5, 8753865)
(1, 7, 2890770)
(1, 8, 5766367)
(1, 9, 6608502)
(2, 4, 7852684)
(2, 5, 158728)
(2, 6, 1160603)
(2, 7, 6849333)
(2, 9, 264041)
(3, 6, 8819709)
(3, 7, 3795102)
(3, 8, 3113285)
(3, 9, 527873)
(4, 6, 9064914)
(4, 7, 6701452)
(4, 8, 1312231)
(5, 7, 811466)
(5, 8, 6147670)
(6, 8, 6457085)
(6, 9, 1277949)
(7, 9, 117668)
